signal_month,month,period,maximum_feature_month,gross_return,turnover,scheduled_rebalance,missing_forward_return_weight,net_return_20bps,proxy_net_return,holdings,raw_rank_ic,rank_ic,long_short_gross_return,diagnostic_long_turnover,diagnostic_short_turnover,diagnostic_long_missing_forward_return_weight,diagnostic_short_missing_forward_return_weight,long_short_turnover,long_short_net_return_20bps,long_short_proxy_net_return,diagnostic_long_names,diagnostic_short_names
2018-01-31,2018-02-28,development,2018-01-31,-0.0437265159590871,1.0,True,0.0,-0.045726515959087104,-0.04653535760965527,241,0.05583624725027071,0.05583624725027071,0.009842208844525288,1.0,1.0,0.0,0.0,2.0,0.005842208844525288,0.003644972253166694,206,206
2018-02-28,2018-03-31,development,2018-02-28,0.0321577795203385,0.13692946058091285,False,0.0,0.03188392059917668,0.03128380118802141,228,-0.006189580816632253,-0.006189580816632253,-0.025047314459262667,0.15146333258578154,0.13815877999551468,0.0,0.0,0.2896221125812962,-0.02562655868442526,-0.027281252432501197,197,197
2018-03-31,2018-04-30,development,2018-03-31,-0.03121728228750986,0.1784232365145228,False,0.0,-0.0315741287605389,-0.03235108638211341,241,0.15893200074008715,0.15893200074008715,0.040576468941075916,0.21878036929057335,0.09790249433106575,0.0,0.0,0.3166828636216391,0.03994310321383264,0.03830506839940947,207,207
2018-04-30,2018-05-31,development,2018-04-30,-0.01692748546538231,0.2459016393442623,True,0.0,-0.017419288744070838,-0.018354882724536222,244,0.09531296204571157,0.09531296204571157,0.015934853966700628,0.2900439926428447,0.24996090927213374,0.0,0.0,0.5400049019149784,0.01485484416287067,0.012477216967012553,210,210
2018-05-31,2018-06-30,development,2018-05-31,-0.10823303322484859,0.15537848605577692,False,0.0,-0.10854379019696014,-0.10913862236970763,251,0.03683141314449953,0.03683141314449953,0.00030892042351275684,0.24375186741363208,0.11402666900093367,0.0,0.0,0.35777853641456575,-0.0004066366493163747,-0.002186747189677356,220,220
2018-06-30,2018-07-31,development,2018-06-30,0.01191317271623388,0.10588235294117647,False,0.0,0.011701408010351527,0.011197009833426712,255,0.2891675474858857,0.2891675474858857,0.038559307722725075,0.18711265458564375,0.1419710931991844,0.0,0.0,0.3290837477848282,0.03790114022715542,0.035853480882523533,220,220
2018-07-31,2018-08-31,development,2018-07-31,-0.06776554610155928,0.25769230769230766,True,0.0,-0.0682809307169439,-0.0693955190766012,260,0.15901766585334381,0.15901766585334381,0.050554490441463054,0.2993713741654297,0.3546439511765297,0.0,0.0,0.6540153253419594,0.049246459790779136,0.045918817735952196,226,226
2018-08-31,2018-09-30,development,2018-08-31,0.00553510091817369,0.09469696969696971,False,0.0,0.00534570697877975,0.004896837520104734,264,0.05490073882890644,0.05490073882890644,0.028041536948897668,0.12934668695064228,0.056448227566888776,0.0,0.0,0.18579491451753105,0.027669947119862606,0.026679726842614892,229,229
2018-09-30,2018-10-31,development,2018-09-30,-0.08659954198950684,0.05992509363295881,False,0.0,-0.08671939217677276,-0.08697807264076397,267,0.1264363738115622,0.1264363738115622,0.023180309546374553,0.13206344717374127,0.0878937280040221,0.0,0.0,0.21995717517776336,0.022740395196019027,0.021766363798320903,231,231
2018-10-31,2018-11-30,development,2018-10-31,0.05263450192591296,0.19330855018587362,True,0.0,0.05224788482554121,0.051234089456323115,269,0.16443590673321404,0.16443590673321404,-0.0014436845296935188,0.21309523809523812,0.28787393162393166,0.0,0.0,0.5009691697191698,-0.0024456228691318582,-0.005529121653385199,234,234
