signal_month,market_beta_exposure,size_exposure,volatility_exposure,liquidity_exposure,value_exposure,reversal_exposure,industry_exposure
2018-01-31,0.37804648954285636,16.062758072873965,0.5254550316675685,19.525114669967763,-0.24499618796714573,-0.30401290993723595,0.039036753033979625
2018-02-28,0.7250513320524687,15.953289701649107,0.6800575797150747,19.346985911134176,-0.25331467613160463,-0.15715308658410657,0.04087706329388391
2018-03-31,0.9067276019298155,15.935197020716918,0.5579383504364139,19.52613612240271,-0.27101037484573737,-0.09133535160836984,0.029624749483316996
2018-04-30,0.844006033100172,15.917488956120756,0.44692374074561725,18.95947020354208,-0.062265398849745954,0.1317829703678536,0.03062284546059635
2018-05-31,0.9700930567068613,15.82494945961092,0.3696839962979048,18.480489509115856,0.06091817052134022,0.09861909877570987,0.05181125923731485
2018-06-30,0.9961753968369812,15.693498448228603,0.5098159195267357,18.114558357291394,0.1476294051543466,0.11205689615584255,0.03837818640171658
2018-07-31,0.9409713827993564,15.736243667289436,0.39828742985711896,18.021279532307858,0.20254325866312436,0.08353116193254762,0.044664587620715374
2018-08-31,0.9747050926983967,15.68727564721057,0.3615497730822412,17.694629227836757,0.25614330195081714,0.10690932350671155,0.05466235452692235
2018-09-30,0.9309745589611342,15.722532069635285,0.29759102353291994,17.514396388658273,0.29182977026700935,0.12329320481686147,0.04286547387597622
2018-10-31,0.8902902024135058,15.632310720778277,0.5505561967985175,17.648025113327083,0.2968049645803616,0.10717760350155942,0.048160813173329556
2018-11-30,0.7973524175637167,15.814842286754228,0.37981892972324005,17.961857889725387,0.30346646587104387,0.06846114858676051,0.0479995023511023
2018-12-31,0.7765211519182912,15.795119372328575,0.2962809797319054,17.505476669395723,0.31166547411898515,0.08617027013014437,0.049022490320102405
2019-01-31,0.7342386899113883,15.812233971478628,0.3121609522197508,17.673559317057656,0.2971681678223006,0.03153302882228598,0.052829751217673734
2019-02-28,0.8220663141776451,15.983237602196308,0.37505132326276835,18.41755408936435,0.3047642175015099,0.193918519202057,0.04593182700097995
2019-03-31,0.7719641604376093,16.182352649247456,0.47226571217403596,18.948538026984323,0.30851247712695695,0.12983993948307967,0.05936141745816659
2019-04-30,0.7628149540784348,16.184509394407296,0.3957800976289313,18.82955078970999,0.30434386247171136,0.03630066799315042,0.06600974589672108
2019-05-31,0.7721483540998163,16.175428238855744,0.4476649041803261,18.177698932775826,0.3063015986474362,0.12666672606461074,0.07440636933181703
2019-06-30,0.7776170890645899,16.09590458954312,0.3045078129950329,18.0158909892164,0.31111136979276854,0.07620298575176118,0.07076027473357702
2019-07-31,0.7882100890919315,15.944562627695635,0.29305928671292913,17.84870830998401,0.3164385505112594,0.06049972014941367,0.048876179609259
2019-08-31,0.7937418127863687,15.7920533773292,0.31413060600260323,17.779207462779283,0.31958868731956663,0.14993872068484343,0.049299050499811224
2019-09-30,0.810567893101237,15.79674009415055,0.3133370329975021,18.105094762205603,0.3194217154997139,0.09788878169988659,0.06023622529645657
2019-10-31,0.8153244281750435,15.812134621791959,0.3050308933810055,17.87740660167946,0.31739010616585206,0.06490919410886617,0.06813998836829033
2019-11-30,0.8293376872049768,15.68561429527784,0.24037272949274002,17.530719714745135,0.30891093119340685,0.0583623738014089,0.07027572217724071
2019-12-31,0.8680113913120926,15.92909522222698,0.24407166804863095,17.995135582831903,0.2995879444139794,0.10365113026130084,0.08821568487163582
2020-01-31,0.8934111867136625,15.888422937281145,0.3226468039225367,18.328133005065794,0.2960493518218841,0.08308129438034643,0.07965205277261507
2020-02-29,0.8275963330531724,15.863468167356313,0.6077964095737789,18.667886546296323,0.3053478694921577,0.1177933754807973,0.07086681643779756
2020-03-31,0.891578760776691,15.92190992162196,0.45548694076349194,18.620174273094392,0.300642469929725,0.026116748660822087,0.08015336144097845
2020-04-30,0.8977638001021794,15.96239019382836,0.3439489152088272,18.198693566524465,0.29706071801373357,0.09066990771036347,0.08257761204835193
