industry,period,sample_count,mean_rank_ic,g10_minus_g1_return,average_turnover,average_net_return_20bps,average_net_return_50bps,months,retrospective_change_vs_prior
B06,development,423,0.10347424886326491,-0.0001324328911594702,0.675,-0.002832432891159473,-0.006882432891159475,20,-0.015314726054717752
B06,retrospective_test,494,0.08150213838584965,-0.0067237730622416,0.5909090909090909,-0.009087409425877964,-0.01263286397133251,22,-0.015314726054717752
B06,selection,533,0.0747249670619236,0.017314338876111775,0.5416666666666666,0.015147672209445106,0.011897672209445107,24,-0.015314726054717752
B09,development,864,0.06856007752921298,0.005748416739188192,0.6463414634146342,0.003163050885529653,-0.0007149978949581527,41,-0.016824372536931503
B09,retrospective_test,511,0.016030258667807173,0.009545355203917137,0.5,0.007545355203917134,0.004545355203917138,23,-0.016824372536931503
B09,selection,533,0.13768092414831545,0.046991038742509095,0.6041666666666666,0.044574372075842424,0.04094937207584242,24,-0.016824372536931503
C13,development,1891,0.10258700256369006,0.013937202999642129,0.6006944444444444,0.011534425221864349,0.007930258555197684,48,-0.010215462711406248
C13,retrospective_test,1090,0.093252068604618,0.020246909165314974,0.5260869565217391,0.01814256133922802,0.014986039600097582,23,-0.010215462711406248
C13,selection,1147,0.1609852140881521,0.046987540753800315,0.5916666666666667,0.044620874087133645,0.04107087408713364,24,-0.010215462711406248
C14,development,1881,0.09815412534124161,0.034579867771410984,0.6364583333333333,0.03203403443807765,0.02821528443807765,48,-0.004159437258946078
C14,retrospective_test,1255,0.11555865497980769,0.019974000299089353,0.627639751552795,0.01746344129287817,0.0136976027835614,23,-0.004159437258946078
C14,selection,1345,0.10162860312617351,0.01368700734465988,0.6194444444444445,0.0112092295668821,0.007492562900215435,24,-0.004159437258946078
C15,development,1629,0.09040241241145665,0.007956407914129167,0.5572916666666666,0.0057272412474625,0.002383491247462501,48,0.0006145255084229369
C15,retrospective_test,927,0.11449310030899419,0.015521538325200973,0.44202898550724634,0.013753422383171985,0.011101248470128507,23,0.0006145255084229369
C15,selection,1007,0.11751380942933302,0.021857617719426906,0.40625,0.020232617719426905,0.017795117719426906,24,0.0006145255084229369
C17,development,682,0.1235680079730423,0.015018585191453947,0.7,0.012218585191453945,0.008018585191453948,30,-0.006561762207244061
C17,retrospective_test,646,0.07499541306611374,0.021360682462477736,0.6931818181818182,0.01858795518975046,0.014428864280659552,22,-0.006561762207244061
C17,selection,690,0.06516387030249694,0.04082630414798964,0.6875,0.03807630414798964,0.03395130414798964,24,-0.006561762207244061
C18,development,1155,0.14547041709452416,0.022793679299762587,0.7028985507246377,0.01998208509686403,0.015764693792516205,46,-0.0020363957468870486
C18,retrospective_test,563,0.07212654785775181,0.02098846274063402,0.6287878787878788,0.018473311225482503,0.014700583952755227,22,-0.0020363957468870486
C18,selection,669,0.11955516933671963,0.02325603767527955,0.611111111111111,0.020811593230835108,0.017144926564168442,24,-0.0020363957468870486
C21,development,124,0.09231032125768966,0.04181249030526749,0.6666666666666666,0.03914582363860083,0.035145823638600825,6,-0.04753269908604008
C21,retrospective_test,150,-0.006131279638961873,-0.005860321063659351,0.5714285714285714,-0.008146035349373639,-0.011574606777945065,7,-0.04753269908604008
C21,selection,84,0.08948839490029423,0.041532265739493965,0.875,0.03803226573949396,0.03278226573949397,4,-0.04753269908604008
C22,development,879,0.16090557743611783,0.03268670235838034,0.6794871794871795,0.029968753640431618,0.02589183056350854,39,0.0032784099858989106
C22,retrospective_test,566,0.027781931457205266,0.013815984796686033,0.8106060606060606,0.010573560554261788,0.005709924190625427,22,0.0032784099858989106
C22,selection,598,0.08211462573580856,-0.011611552736806094,0.6458333333333334,-0.014194886070139431,-0.018069886070139433,24,0.0032784099858989106
C24,retrospective_test,143,-0.011677273364099119,0.03322771429057781,0.8571428571428571,0.02979914286200638,0.024656285719149237,7,
C26,development,8780,0.07703760719272408,0.012870499641413386,0.627570988573584,0.01036021568711905,0.006594789755677545,48,-0.004595449181969928
C26,retrospective_test,5906,0.10110265157850688,0.01489467974125567,0.525238991562243,0.0127937237750067,0.009642289825633242,23,-0.004595449181969928
C26,selection,5530,0.1195834920358844,0.026109758205037813,0.5359580666917624,0.023965925938270762,0.020750177538120185,24,-0.004595449181969928
C27,development,8704,0.09189622070327746,0.019362715655917264,0.5742187837389076,0.017065840520961634,0.013620527818528188,48,-0.03576312840346818
C27,retrospective_test,5553,0.0760382357273818,-0.0073309254470165916,0.5322269091267201,-0.00945983308352347,-0.012653194538283792,23,-0.03576312840346818
C27,selection,5987,0.16368168068189035,0.03750169025698591,0.5790032803348021,0.0351856771356467,0.03171165745363789,24,-0.03576312840346818
C28,development,296,0.07303091381422659,0.010689327022611165,0.6538461538461539,0.008073942407226548,0.004150865484149623,13,0.024675848200426398
C28,retrospective_test,608,0.1139366571903459,0.027040387551545413,0.644927536231884,0.024460677406617875,0.02059111218922657,23,0.024675848200426398
C28,selection,516,0.03213463716000777,-0.005960248320373137,0.7391304347826086,-0.008916770059503575,-0.013351552668199224,23,0.024675848200426398
C29,development,2566,0.08844355503414965,0.024602294378771192,0.5941468253968254,0.022225707077183885,0.018660826124802934,48,-0.006426950901868664
C29,retrospective_test,2037,0.12354384008359234,0.022985168201556806,0.5519323671497585,0.020777438732957777,0.017465844530059223,23,-0.006426950901868664
C29,selection,1637,0.13280150073512983,0.03422194382807975,0.568204365079365,0.03194912636776229,0.028539900177286096,24,-0.006426950901868664
C30,development,3330,0.08645065568298808,0.03425795778401275,0.6042410714285714,0.03184099349829846,0.028215547069727034,48,-0.012784677702269483
C30,retrospective_test,2012,0.07694203993121702,0.013186623948122516,0.5718599033816425,0.010899184334595944,0.007468024914306092,23,-0.012784677702269483
C30,selection,1983,0.0827872209718737,0.017684645516771246,0.5565476190476191,0.015458455040580766,0.012119169326295053,24,-0.012784677702269483
C31,development,1257,0.04811190899788737,-0.0052763626991988695,0.6354166666666666,-0.00781802936586554,-0.011630529365865538,48,-0.010895131575037171
C31,retrospective_test,632,0.11477904765108461,-0.0017612808920639252,0.6956521739130435,-0.0045438895877161,-0.00871780263119436,23,-0.010895131575037171
C31,selection,683,0.09272456354978602,0.02354406406514536,0.7083333333333334,0.020710730731812024,0.016460730731812024,24,-0.010895131575037171
C32,development,2820,0.12122269559248318,0.010773704462195883,0.639186507936508,0.008216958430449851,0.004381839382830803,48,0.010297645175642038
C32,retrospective_test,1843,0.10585855458255881,0.015112576011367125,0.49378881987577644,0.01313742073186402,0.010174687812609358,23,0.010297645175642038
C32,selection,1754,0.1297809599510055,-0.00114384279074571,0.48115079365079366,-0.003068445965348885,-0.005955350727253647,24,0.010297645175642038
C33,development,2024,0.0931706857283686,0.018000237119871372,0.7236111111111111,0.01510579267542693,0.010764126008760262,48,0.003083232392365156
C33,retrospective_test,1863,0.12170053090223111,0.023290559542632604,0.5986024844720497,0.0208961496047444,0.017304534697912106,23,0.003083232392365156
C33,selection,1672,0.0918140124990156,0.02241441718066352,0.6388888888888888,0.01985886162510797,0.016025528291774636,24,0.003083232392365156
C34,development,4209,0.13534180840152418,0.03236050994403438,0.6649440836940838,0.02970073360925804,0.025711069107093542,48,-0.005128681636945954
C34,retrospective_test,3795,0.12378659524559998,0.028339195711603645,0.5703945498870792,0.026057617512055327,0.02263525021273285,23,-0.005128681636945954
C34,selection,3015,0.14041627130587264,0.03457524475306482,0.6211288711288712,0.03209072926854933,0.028363956041776106,24,-0.005128681636945954
C35,development,8029,0.09742995271575572,0.022209369280802877,0.5895189709527945,0.0198512933969917,0.016314179571274928,48,-0.012151736155793867
C35,retrospective_test,6743,0.09521038059306744,0.013575576480850608,0.5568493531012271,0.0113481790684457,0.008007082949838339,23,-0.012151736155793867
C35,selection,6040,0.10052703704553138,0.029245255992486074,0.56336683081342,0.02699178866923239,0.02361158768435187,24,-0.012151736155793867
C36,development,4717,0.15046533224541767,0.03911226593247334,0.6921041342916343,0.036343849395306806,0.032191224589557,48,-0.032082914033626134
C36,retrospective_test,3581,0.0757953006892772,0.004587147466154558,0.5078096455973694,0.002555908883765081,-0.0004909489898191356,23,-0.032082914033626134
C36,selection,3176,0.14290404856904362,0.03422785706708804,0.6008246961371961,0.03182455828253925,0.02821961010571607,24,-0.032082914033626134
C37,development,2061,0.08235859752574748,0.002222538324036532,0.5197916666666667,0.0001433716573698626,-0.002975378342630137,48,-0.0032891174955138993
C37,retrospective_test,1525,0.0868547040497867,0.007645731480256073,0.5124223602484471,0.005596042039262286,0.0025215078777716003,23,-0.0032891174955138993
C37,selection,1344,0.07925360014034132,0.01964715962750341,0.48750000000000004,0.01769715962750341,0.01477215962750341,24,-0.0032891174955138993
C38,development,8564,0.0934859628538001,0.02549203210692051,0.6354027749292506,0.022950421007203504,0.019138004357628,48,-0.010484697925135417
C38,retrospective_test,6353,0.09450877625855872,0.013469142442077659,0.5328320272098384,0.011337814333238308,0.008140822169979276,23,-0.010484697925135417
C38,selection,5851,0.11553754275226298,0.022415648627505644,0.5464528654383727,0.020229837165752152,0.016951119973121917,24,-0.010484697925135417
C39,development,15270,0.08152514899933198,0.012722469846037388,0.5726412533110996,0.010431904832792991,0.006996057312926393,48,-0.010963650349882764
C39,retrospective_test,12539,0.08856237802103321,0.004163390247154077,0.5359922501731628,0.0020194212464614263,-0.0011965322545775512,23,-0.010963650349882764
C39,selection,10415,0.11952094936328365,0.017531611348036293,0.5115838853687824,0.015485275806561165,0.01241577249434847,24,-0.010963650349882764
C40,development,1591,0.09299023277713538,0.04026615842454168,0.7038194444444444,0.037450880646763905,0.033227963980097246,48,-0.05484687046574005
C40,retrospective_test,1472,0.08194274401177627,-0.000671855874315176,0.6209109730848862,-0.0031554997666547228,-0.006880965605164038,23,-0.05484687046574005
C40,selection,1189,0.12026042607182602,0.06808387075830806,0.6381944444444444,0.06553109298053027,0.06170192631386361,24,-0.05484687046574005
D44,development,2432,0.1219470312934024,0.02894852477309141,0.6742559523809524,0.026251500963567598,0.022205965249281884,48,-0.023122690474442795
D44,retrospective_test,1712,0.12722718437065395,0.01507845781407054,0.5900621118012422,0.012718209366865569,0.009177836696058117,23,-0.023122690474442795
D44,selection,1732,0.1470279041604171,0.047453771803935264,0.5753968253968254,0.04515218450234796,0.04169980354996702,24,-0.023122690474442795
D45,development,387,0.25277731040888934,0.050072684240153854,0.75,0.04707268424015385,0.042572684240153855,18,-0.047393997860286724
D45,retrospective_test,254,0.06898833853232252,0.010892376358513907,0.6363636363636364,0.00834692181305936,0.004528739994877539,11,-0.047393997860286724
D45,selection,370,0.21958659570787717,0.06650006419744742,0.71875,0.06362506419744741,0.05931256419744742,16,-0.047393997860286724
E48,development,2201,0.15109236690770922,0.037657070394178115,0.6826388888888889,0.03492651483862255,0.030830681505289222,48,-0.013216340737236147
E48,retrospective_test,1303,0.12431965719372533,0.019530317889882673,0.5739130434782609,0.017234665715969627,0.013791187455100062,23,-0.013216340737236147
E48,selection,1438,0.13755900346491082,0.027836246860059522,0.5791666666666667,0.025519580193392854,0.02204458019339285,24,-0.013216340737236147
E50,development,255,0.1831130444688797,0.05911485155359129,0.6666666666666666,0.05644818488692462,0.05244818488692462,12,-0.049964654493272524
E50,retrospective_test,40,0.0661654135338346,0.01674625172372856,0.25,0.01574625172372856,0.014246251723728558,2,-0.049964654493272524
E50,selection,172,0.22290186929775027,0.07430696088041089,0.875,0.07080696088041089,0.0655569608804109,8,-0.049964654493272524
F51,development,2628,0.08832777135010261,0.009840453273882091,0.6802083333333333,0.007119619940548758,0.0030383699405487573,48,-0.0384784466471694
F51,retrospective_test,1585,0.06622639139722027,-0.00963878947485296,0.6485507246376812,-0.01223299237340369,-0.016124296721229774,23,-0.0384784466471694
F51,selection,1667,0.15882299789734236,0.047838861070750784,0.5763888888888888,0.04553330551519524,0.042074972181861896,24,-0.0384784466471694
F52,development,2595,0.11612056037791402,0.03223490727654867,0.6847222222222222,0.02949601838765978,0.02538768505432645,48,-0.018951720135238073
